D3.TRANSACCION,CANAL_ATENCION,CAUSA,DESCRIPCION,MOTIVO,MUNICIPIO,D0.SERVICIO,D2.PUNTO DE CONTACTO,,D5.LOCALIDAD,P3.ASPECTOS QUE LO SORPRENDIERON O QUE LE MOLESTARON,INCIDENTE CRITICO
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,INQUILINA RECLAMA POR CONSUMO ALTO DE ENERGIA EN MARZO DE 2019,_,COPACABANA,Energía,Oficina de atención,,Metropolitana,"PRIMERO ES MUY GRATO SABER QUE HAY FILAS PRIORITARIAS, PERO EL MANEJO QUE LE DABAN EN LA OFICINA NO LO SENTÍ ADECUADO, PORQUE SI ES CIERTO QUE UNO HAY PERSONAS QUE NECESITAN UNA ATENCIÓN MÁS RÁPIDA, TAMBIÉN ES CIERTO QUE MUCHAS PERSONAS QUE TIENEN UN FICHO DE ATENCIÓN GENERAL, TAMPOCO PUEDEN ESTAR EL DÍA ENTERO EN UNA OFICINA, PORQUE TAMBIÉN TENEMOS RESPONSABILIDADES Y LA VERDAD HUBIERA PODIDO TOMAR EL FICHO PRIORITARIO PERO COMO HABÍA POCA GENTE, TOME EL GENERAL Y ESTUVE CASI UNA HORA Y MUCHA GENTE CON FICHO GENERAL SE TUVIERON QUE IR PORQUE SOLO ATENDÍAN PRIORITARIO, NO ME PARECIÓ ADECUADO. SEGUNDO, NO ME PARECE QUE UNA PERSONA DE DEMORE TANTO EN LA ATENCIÓN Y AUNQUE HABÍA VARIOS CUBÍCULOS, SOLO ATENDÍAN DOS PERSONAS. POR ÚLTIMO, EL ASESOR NO ME ATENDIÓ MAL, SINO QUE FUE AMABLE Y QUERIDO, PERO NO CONCIBO QUE PRECISAMENTE EPM TENGA ESTRATOS DONDE NO SE JUSTIFIQUE MI RECLAMO, PORQUE TENGO UNA HIJA VIVA EN ESTRATO 6 Y MIS MISMAS CONDICIONES Y PAGA MUCHÍSIMO MENOS DE LO QUE ESTABA PAGANDO, Y ÉL ME DIJO QUE NO ME TUVIERA QUE COMPARAR CON NADIE, PERO LO QUE ESTABA COMPARANDO EL SERVICIO DE EPM CON DIFERENTES ESTRATOS Y AUNQUE FINALMENTE ME ACEPTO LA RECLAMACIÓN SENTÍ QUE NO ME DIERON LA RESPUESTA COMO ERA. SIENTO QUE CUANDO VOY A RECLAMAR EL USUARIO LLEVA LAS DE PERDER. LA RESPUESTA QUE ME DIO, LA DIGITO Y ENTREGO UNA RESPUESTA DONDE BUSCARA UN PROCESO EN MÁXIMO DE 15 DÍAS ANEXANDO UNOS DOCUMENTOS, PERO LO SOLUCIONE AL FINAL CON LOS DUEÑOS DE CASA",INCIDENTES NEGATIVOS
Daños Energía Prepago,_,_,_,_,_,Energía,Línea de atención,,Regional,_,_
Daños Acueducto,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,PORQUE TODO BIEN EN QUE ME RECIBIERON LA LLAMADA ME RECOGIERON LOS DATOS SOBRE LA QUEJA QUE ESTÁ PONIENDO SOBRE EL DAÑO QUE ESTÁ PONIENDO/NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Peticiones Gas Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Usuario en calidad de propietario solicita orientaci?n a la facturaci?n.,_,PE?OL,Gas,Oficina de atención,,Regional,BUENA ATENCIÓN EN CUANTO A QUE ME  ATENDIERON MUY RÁPIDO Y FUERON MUY ORDENADOS (NO DA MÁS INFORMACION),INCIDENTES POSITIVOS
Quejas Gas,TELEFONICO,INCONFORMIDAD TRABAJOS,"Nombre: HERNAN DARIO ALVARES GARCES Cedula: 98506549 Direcci?n: RURAL_190690100209700102_190690100209700102 Municipio: SANTO DOMINGO Tel?fonos: 3002134964 Proceso: Se comunica el usuario indicando que tiene el servicio instalado pero no se lo conectaron desde el mes de abril del a?o 2018, los contratistas no volvieron, no dieron el servicio y no le dieron la cocineta b?sica de dos puestos para la cual aplica, las ordenes est?n cerradas desde el 28/04/2018 y factura desde esa fecha y no tiene el servicio, la empresa no le responde por el servicio y se encuentra muy inconforme. 00001111981554157753 / agarsanc",_,SANTO DOMINGO,Gas,Línea de atención,,Regional,LA DEMORA EN EL ARREGLO Y ESTUVE  SIN SERVICIO  POR VARIOS DÍAS Y NO HABÍA RESPUESTA NI POR PARTE DE EPM NI DEL CONTRATISTA ME PONÍAN DE UN LADO A OTRO,INCIDENTES NEGATIVOS
Quejas Energía (incluido prepago),TELEFONICO,DEMORA EN ATENDER PETICION,"NOMBRE: NELSON CASTA?EDA
CC: 8276620
CEL: 3002787934
DIRECCI?N: CR 55 B CL 62 -89
PEDIDO: 21126929
ID: 00001083841554743547
AUTORIZA SMS: SI 
Se ingresa queja como CLIENTE INSISTE ya que el funcionario Albeiro Sierra de la Oficina del Municipio de Envigado desconoce el procedimiento y se remite a la l?nea para que desde aqu? sea gestionado, pedido en estado cumplido para envi? de respuesta al usuario, no existe documento con radicado # 20190130037135, cargado en ENTER, ni se le ha enviado al cliente, usuario solicita se le brinde informaci?n sobre si se aprob? o no punto el punto de conexi?n.",_,ITAGUI,Energía,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Quejas aguas (incluido prepago),TELEFONICO,INCONFORMIDAD PUNTO DE VENTA YO RECAUDO,"Nombre: Bernardo De Jes?s Meneses Restrepo
Cc: 8346975
Tel: 3002049999 - 2694929
Dir: CR 28 A CL 38 F -159
Autoriza SMS: Si
Id: 00001117721553968638
N?mero del medidor:WATERTECH_SIRIUS-S_20181003658 N?mero de la tarjeta: 048A22C2A15880
Usuario manifiesta que realiz? recarga de agua prepago el d?a 29 de Marzo en el punto de venta Gana por valor de $5.000, coloca la tarjeta en el medidor y le registra 00 m3, las llaves se encuentra abiertas, y la recarga se visualiza en el sistema. dramilop",_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"PUES LO QUE ME MOLESTO ES QUE ELLOS LE DICEN A UNO QUE VAN A VENIR A REVISAR EL MEDIDOR Y RESULTA QUE NO VINIERON, ENTONCES ME MOLESTO PORQUE ELLOS DEBIERON LLAMARME Y DECIR NO MIRE SEÑOR BERNARDO NO VAN A IR A REVISAR EL MEDIDOR, PERO UNO ESPERANDO Y ELLOS ME DECÍAN QUE SÍ, CUANDO NO ERA ASÍ ESO FUE COMO LO QUE MÁS ME MOLESTO PORQUE DESPUÉS DE QUE SE DETECTÓ EL PROBLEMA PUES ME COLABORARON, NO DA MÁS INFORMACIÓN.",INCIDENTES NEGATIVOS
Alternativas de Pago,_,_,_,_,SABANETA,No aplica,Línea de atención,,Metropolitana,NO ME PRESTARON  EL SERVICIO  EN CUANTO A QUE NO ME DIERON OPCIONES  DE PAGO EL ASESOR QUE ME ATENDIÓ. QUE POR EL ESTRATO ALTO QUE VIVÍA Y  TODO MUNDO TIENE  NECESIDADES,INCIDENTES NEGATIVOS
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,"ME GUSTÓ MUCHO , NO TUVE NINGÚN PROBLEMA ME INFORMARON EL DÍA QUE TENÍAN QUE IR Y ELLOS FUERON ESE DÍA TODO ESTUVO MUY BIEN, ME ATENDIERON MUY BIEN FUERON A LA CASA HICIERON LA REVISIÓN Y FUERON MUY AMABLES.",INCIDENTES POSITIVOS
